id,ilevel,v_1,v_2,v_3,v_4,v_5,v_6,v_7
358,358,87.116608,140.112534,145.194336,145.194336,145.194336,145.194336,145.194336
359,359,87.932106,141.424133,146.553513,146.553513,146.553513,146.553513,146.553513
360,360,88.755241,142.748001,147.925400,147.925400,147.925400,147.925400,147.925400
361,361,89.586075,144.084274,149.310120,149.310120,149.310120,149.310120,149.310120
362,362,90.424690,145.433044,150.707825,150.707825,150.707825,150.707825,150.707825
363,363,91.271156,146.794449,152.118591,152.118591,152.118591,152.118591,152.118591
364,364,92.125549,148.168594,153.542572,153.542572,153.542572,153.542572,153.542572
365,365,92.987938,149.555603,154.979889,154.979889,154.979889,154.979889,154.979889
366,366,93.858398,150.955582,156.430664,156.430664,156.430664,156.430664,156.430664
367,367,94.737007,152.368683,157.895004,157.895004,157.895004,157.895004,157.895004
368,368,95.623840,153.795013,159.373062,159.373062,159.373062,159.373062,159.373062
369,369,96.518974,155.234680,160.864960,160.864960,160.864960,160.864960,160.864960
370,370,97.422485,156.687836,162.370819,162.370819,162.370819,162.370819,162.370819
371,371,98.334457,158.154587,163.890762,163.890762,163.890762,163.890762,163.890762
372,372,99.254967,159.635071,165.424957,165.424957,165.424957,165.424957,165.424957
373,373,100.184097,161.129425,166.973495,166.973495,166.973495,166.973495,166.973495
374,374,101.121918,162.637756,168.536530,168.536530,168.536530,168.536530,168.536530
375,375,102.068520,164.160202,170.114212,170.114212,170.114212,170.114212,170.114212
376,376,103.023987,165.696915,171.706650,171.706650,171.706650,171.706650,171.706650
377,377,103.988403,167.248001,173.313995,173.313995,173.313995,173.313995,173.313995
378,378,104.961830,168.813614,174.936386,174.936386,174.936386,174.936386,174.936386
379,379,105.944382,170.393875,176.573959,176.573959,176.573959,176.573959,176.573959
380,380,106.936127,171.988937,178.226883,178.226883,178.226883,178.226883,178.226883
381,381,107.937157,173.598923,179.895264,179.895264,179.895264,179.895264,179.895264
382,382,108.947563,175.223984,181.579254,181.579254,181.579254,181.579254,181.579254
383,383,109.967407,176.864258,183.279022,183.279022,183.279022,183.279022,183.279022
384,384,110.996819,178.519882,184.994705,184.994705,184.994705,184.994705,184.994705
385,385,112.035858,180.191010,186.726440,186.726440,186.726440,186.726440,186.726440
386,386,113.084633,181.877777,188.474380,188.474380,188.474380,188.474380,188.474380
387,387,114.143219,183.580338,190.238693,190.238693,190.238693,190.238693,190.238693
388,388,115.211708,185.298828,192.019516,192.019516,192.019516,192.019516,192.019516
389,389,116.290207,187.033417,193.817017,193.817017,193.817017,193.817017,193.817017
390,390,117.378799,188.784241,195.631332,195.631332,195.631332,195.631332,195.631332
391,391,118.477577,190.551453,197.462646,197.462646,197.462646,197.462646,197.462646
392,392,119.586647,192.335205,199.311096,199.311096,199.311096,199.311096,199.311096
393,393,120.706108,194.135651,201.176849,201.176849,201.176849,201.176849,201.176849
394,394,121.836037,195.952957,203.060059,203.060059,203.060059,203.060059,203.060059
395,395,122.976547,197.787277,204.960907,204.960907,204.960907,204.960907,204.960907
396,396,124.127731,199.638763,206.879547,206.879547,206.879547,206.879547,206.879547
397,397,125.289688,201.507584,208.816147,208.816147,208.816147,208.816147,208.816147
398,398,126.462517,203.393890,210.770874,210.770874,210.770874,210.770874,210.770874
399,399,127.646339,205.297867,212.743912,212.743912,212.743912,212.743912,212.743912
400,400,128.841248,207.219666,214.735397,214.735397,214.735397,214.735397,214.735397
401,401,130.047318,209.159439,216.745544,216.745544,216.745544,216.745544,216.745544
402,402,131.264694,211.117386,218.774490,218.774490,218.774490,218.774490,218.774490
403,403,132.493469,213.093658,220.822449,220.822449,220.822449,220.822449,220.822449
404,404,133.733734,215.088425,222.889572,222.889572,222.889572,222.889572,222.889572
405,405,134.985626,217.101868,224.976044,224.976044,224.976044,224.976044,224.976044
406,406,136.249222,219.134171,227.082031,227.082031,227.082031,227.082031,227.082031
407,407,137.524658,221.185486,229.207748,229.207748,229.207748,229.207748,229.207748
408,408,138.812027,223.255997,231.353363,231.353363,231.353363,231.353363,231.353363
409,409,140.111435,225.345901,233.519073,233.519073,233.519073,233.519073,233.519073
410,410,141.423019,227.455368,235.705048,235.705048,235.705048,235.705048,235.705048
411,411,142.746887,229.584579,237.911484,237.911484,237.911484,237.911484,237.911484
412,412,144.083145,231.733719,240.138565,240.138565,240.138565,240.138565,240.138565
413,413,145.431900,233.902985,242.386505,242.386505,242.386505,242.386505,242.386505
414,414,146.793289,236.092545,244.655487,244.655487,244.655487,244.655487,244.655487
415,415,148.167419,238.302612,246.945709,246.945709,246.945709,246.945709,246.945709
416,416,149.554428,240.533371,249.257370,249.257370,249.257370,249.257370,249.257370
417,417,150.954407,242.785004,251.590668,251.590668,251.590668,251.590668,251.590668
418,418,152.367493,245.057709,253.945816,253.945816,253.945816,253.945816,253.945816
419,419,153.793808,247.351700,256.322998,256.322998,256.322998,256.322998,256.322998
420,420,155.233459,249.667160,258.722443,258.722443,258.722443,258.722443,258.722443
421,421,156.686600,252.004288,261.144348,261.144348,261.144348,261.144348,261.144348
422,422,158.153351,254.363312,263.588928,263.588928,263.588928,263.588928,263.588928
423,423,159.633820,256.744415,266.056366,266.056366,266.056366,266.056366,266.056366
424,424,161.128159,259.147797,268.546936,268.546936,268.546936,268.546936,268.546936
425,425,162.636475,261.573669,271.060791,271.060791,271.060791,271.060791,271.060791
426,426,164.158920,264.022278,273.598206,273.598206,273.598206,273.598206,273.598206
427,427,165.695618,266.493774,276.159363,276.159363,276.159363,276.159363,276.159363
428,428,167.246689,268.988434,278.744476,278.744476,278.744476,278.744476,278.744476
429,429,168.812286,271.506439,281.353821,281.353821,281.353821,281.353821,281.353821
430,430,170.392548,274.048004,283.987579,283.987579,283.987579,283.987579,283.987579
431,431,171.987579,276.613373,286.645966,286.645966,286.645966,286.645966,286.645966
432,432,173.597565,279.202759,289.329285,289.329285,289.329285,289.329285,289.329285
433,433,175.222610,281.816376,292.037689,292.037689,292.037689,292.037689,292.037689
434,434,176.862869,284.454437,294.771454,294.771454,294.771454,294.771454,294.771454
435,435,178.518478,287.117218,297.530823,297.530823,297.530823,297.530823,297.530823
436,436,180.189590,289.804932,300.316010,300.316010,300.316010,300.316010,300.316010
437,437,181.876358,292.517792,303.127258,303.127258,303.127258,303.127258,303.127258
438,438,183.578903,295.256073,305.964844,305.964844,305.964844,305.964844,305.964844
439,439,185.297379,298.019958,308.828979,308.828979,308.828979,308.828979,308.828979
440,440,187.031952,300.809723,311.719910,311.719910,311.719910,311.719910,311.719910
441,441,188.782761,303.625610,314.637939,314.637939,314.637939,314.637939,314.637939
442,442,190.549957,306.467834,317.583252,317.583252,317.583252,317.583252,317.583252
443,443,192.333694,309.336700,320.556152,320.556152,320.556152,320.556152,320.556152
444,444,194.134125,312.232391,323.556885,323.556885,323.556885,323.556885,323.556885
445,445,195.951416,315.155212,326.585693,326.585693,326.585693,326.585693,326.585693
446,446,197.785721,318.105377,329.642883,329.642883,329.642883,329.642883,329.642883
447,447,199.637192,321.083160,332.728668,332.728668,332.728668,332.728668,332.728668
448,448,201.505997,324.088806,335.843323,335.843323,335.843323,335.843323,335.843323
449,449,203.392303,327.122620,338.987183,338.987183,338.987183,338.987183,338.987183
450,450,205.296265,330.184814,342.160431,342.160431,342.160431,342.160431,342.160431
451,451,207.218033,333.275665,345.363403,345.363403,345.363403,345.363403,345.363403
452,452,209.157806,336.395477,348.596344,348.596344,348.596344,348.596344,348.596344
453,453,211.115738,339.544464,351.859558,351.859558,351.859558,351.859558,351.859558
454,454,213.091995,342.722961,355.153320,355.153320,355.153320,355.153320,355.153320
455,455,215.086746,345.931183,358.477905,358.477905,358.477905,358.477905,358.477905
456,456,217.100174,349.169434,361.833618,361.833618,361.833618,361.833618,361.833618
457,457,219.132446,352.438019,365.220734,365.220734,365.220734,365.220734,365.220734
458,458,221.183746,355.737183,368.639587,368.639587,368.639587,368.639587,368.639587
459,459,223.254257,359.067261,372.090424,372.090424,372.090424,372.090424,372.090424
460,460,225.344131,362.428497,375.573547,375.573547,375.573547,375.573547,375.573547
461,461,227.453583,365.821167,379.089294,379.089294,379.089294,379.089294,379.089294
462,462,229.582779,369.245636,382.637970,382.637970,382.637970,382.637970,382.637970
463,463,231.731903,372.702148,386.219849,386.219849,386.219849,386.219849,386.219849
464,464,233.901154,376.191010,389.835236,389.835236,389.835236,389.835236,389.835236
465,465,236.090698,379.712524,393.484497,393.484497,393.484497,393.484497,393.484497
466,466,238.300735,383.267029,397.167908,397.167908,397.167908,397.167908,397.167908
467,467,240.531479,386.854797,400.885803,400.885803,400.885803,400.885803,400.885803
468,468,242.783096,390.476135,404.638489,404.638489,404.638489,404.638489,404.638489
469,469,245.055786,394.131378,408.426300,408.426300,408.426300,408.426300,408.426300
470,470,247.349762,397.820862,412.249603,412.249603,412.249603,412.249603,412.249603
471,471,249.665192,401.544861,416.108673,416.108673,416.108673,416.108673,416.108673
472,472,252.002319,405.303711,420.003845,420.003845,420.003845,420.003845,420.003845
473,473,254.361313,409.097778,423.935516,423.935516,423.935516,423.935516,423.935516
474,474,256.742401,412.927338,427.903992,427.903992,427.903992,427.903992,427.903992
475,475,259.145752,416.792755,431.909607,431.909607,431.909607,431.909607,431.909607
476,476,261.571625,420.694366,435.952698,435.952698,435.952698,435.952698,435.952698
477,477,264.020203,424.632477,440.033661,440.033661,440.033661,440.033661,440.033661
478,478,266.491699,428.607452,444.152802,444.152802,444.152802,444.152802,444.152802
479,479,268.986328,432.619659,448.310516,448.310516,448.310516,448.310516,448.310516
480,480,271.504303,436.669403,452.507172,452.507172,452.507172,452.507172,452.507172
481,481,274.045868,440.757080,456.743103,456.743103,456.743103,456.743103,456.743103
482,482,276.611206,444.883026,461.018677,461.018677,461.018677,461.018677,461.018677
483,483,279.200562,449.047577,465.334259,465.334259,465.334259,465.334259,465.334259
484,484,281.814148,453.251099,469.690247,469.690247,469.690247,469.690247,469.690247
485,485,284.452209,457.493988,474.087036,474.087036,474.087036,474.087036,474.087036
486,486,287.114990,461.776581,478.524963,478.524963,478.524963,478.524963,478.524963
487,487,289.802673,466.099274,483.004425,483.004425,483.004425,483.004425,483.004425
488,488,292.515503,470.462433,487.525848,487.525848,487.525848,487.525848,487.525848
489,489,295.253754,474.866455,492.089569,492.089569,492.089569,492.089569,492.089569
490,490,298.017609,479.311676,496.696045,496.696045,496.696045,496.696045,496.696045
491,491,300.807373,483.798523,501.345612,501.345612,501.345612,501.345612,501.345612
492,492,303.623230,488.327362,506.038696,506.038696,506.038696,506.038696,506.038696
493,493,306.465454,492.898590,510.775726,510.775726,510.775726,510.775726,510.775726
494,494,309.334259,497.512604,515.557129,515.557129,515.557129,515.557129,515.557129
495,495,312.229950,502.169830,520.383240,520.383240,520.383240,520.383240,520.383240
496,496,315.152740,506.870636,525.254578,525.254578,525.254578,525.254578,525.254578
497,497,318.102875,511.615479,530.171448,530.171448,530.171448,530.171448,530.171448
498,498,321.080627,516.404724,535.134399,535.134399,535.134399,535.134399,535.134399
499,499,324.086273,521.238770,540.143799,540.143799,540.143799,540.143799,540.143799
500,500,327.120056,526.118103,545.200073,545.200073,545.200073,545.200073,545.200073
501,501,330.182220,531.043091,550.303711,550.303711,550.303711,550.303711,550.303711
502,502,333.273071,536.014160,555.455078,555.455078,555.455078,555.455078,555.455078
503,503,336.392822,541.031799,560.654724,560.654724,560.654724,560.654724,560.654724
504,504,339.541809,546.096436,565.903015,565.903015,565.903015,565.903015,565.903015
505,505,342.720276,551.208435,571.200439,571.200439,571.200439,571.200439,571.200439
506,506,345.928467,556.368286,576.547424,576.547424,576.547424,576.547424,576.547424
507,507,349.166718,561.576477,581.944519,581.944519,581.944519,581.944519,581.944519
508,508,352.435272,566.833374,587.392090,587.392090,587.392090,587.392090,587.392090
509,509,355.734406,572.139526,592.890686,592.890686,592.890686,592.890686,592.890686
510,510,359.064453,577.495300,598.440735,598.440735,598.440735,598.440735,598.440735
511,511,362.425629,582.901245,604.042725,604.042725,604.042725,604.042725,604.042725
512,512,365.818298,588.357788,609.697205,609.697205,609.697205,609.697205,609.697205
513,513,369.242737,593.865417,615.404541,615.404541,615.404541,615.404541,615.404541
514,514,372.699219,599.424561,621.165344,621.165344,621.165344,621.165344,621.165344
515,515,376.188049,605.035828,626.980103,626.980103,626.980103,626.980103,626.980103
516,516,379.709564,610.699524,632.849243,632.849243,632.849243,632.849243,632.849243
517,517,383.264008,616.416321,638.773376,638.773376,638.773376,638.773376,638.773376
518,518,386.851746,622.186584,644.752930,644.752930,644.752930,644.752930,644.752930
519,519,390.473083,628.010864,650.788452,650.788452,650.788452,650.788452,650.788452
520,520,394.128296,633.889709,656.880493,656.880493,656.880493,656.880493,656.880493
521,521,397.817749,639.823547,663.029541,663.029541,663.029541,663.029541,663.029541
522,522,401.541718,645.812927,669.236206,669.236206,669.236206,669.236206,669.236206
523,523,405.300537,651.858398,675.500916,675.500916,675.500916,675.500916,675.500916
524,524,409.094574,657.960449,681.824280,681.824280,681.824280,681.824280,681.824280
525,525,412.924103,664.119629,688.206848,688.206848,688.206848,688.206848,688.206848
526,526,416.789490,670.336426,694.649170,694.649170,694.649170,694.649170,694.649170
527,527,420.691071,676.611450,701.151733,701.151733,701.151733,701.151733,701.151733
528,528,424.629150,682.945190,707.715271,707.715271,707.715271,707.715271,707.715271
529,529,428.604095,689.338257,714.340149,714.340149,714.340149,714.340149,714.340149
530,530,432.616272,695.791138,721.027100,721.027100,721.027100,721.027100,721.027100
531,531,436.665985,702.304443,727.776672,727.776672,727.776672,727.776672,727.776672
532,532,440.753632,708.878723,734.589355,734.589355,734.589355,734.589355,734.589355
533,533,444.879517,715.514587,741.465881,741.465881,741.465881,741.465881,741.465881
534,534,449.044037,722.212524,748.406738,748.406738,748.406738,748.406738,748.406738
535,535,453.247559,728.973145,755.412598,755.412598,755.412598,755.412598,755.412598
536,536,457.490387,735.797058,762.484009,762.484009,762.484009,762.484009,762.484009
537,537,461.772980,742.684875,769.621643,769.621643,769.621643,769.621643,769.621643
538,538,466.095642,749.637146,776.826050,776.826050,776.826050,776.826050,776.826050
539,539,470.458740,756.654480,784.097900,784.097900,784.097900,784.097900,784.097900
540,540,474.862732,763.737549,791.437866,791.437866,791.437866,791.437866,791.437866
541,541,479.307922,770.886902,798.846497,798.846497,798.846497,798.846497,798.846497
542,542,483.794708,778.103149,806.324524,806.324524,806.324524,806.324524,806.324524
543,543,488.323517,785.387024,813.872559,813.872559,813.872559,813.872559,813.872559
544,544,492.894714,792.739014,821.491211,821.491211,821.491211,821.491211,821.491211
545,545,497.508698,800.159851,829.181213,829.181213,829.181213,829.181213,829.181213
546,546,502.165894,807.650146,836.943176,836.943176,836.943176,836.943176,836.943176
547,547,506.866669,815.210571,844.777771,844.777771,844.777771,844.777771,844.777771
548,548,511.611450,822.841736,852.685730,852.685730,852.685730,852.685730,852.685730
549,549,516.400635,830.544373,860.667725,860.667725,860.667725,860.667725,860.667725
550,550,521.234680,838.319092,868.724487,868.724487,868.724487,868.724487,868.724487
551,551,526.113953,846.166626,876.856628,876.856628,876.856628,876.856628,876.856628
552,552,531.038940,854.087585,885.064880,885.064880,885.064880,885.064880,885.064880
553,553,536.009949,862.082703,893.349976,893.349976,893.349976,893.349976,893.349976
554,554,541.027588,870.152649,901.712585,901.712585,901.712585,901.712585,901.712585
555,555,546.092102,878.298157,910.153564,910.153564,910.153564,910.153564,910.153564
556,556,551.204102,886.519897,918.673523,918.673523,918.673523,918.673523,918.673523
557,557,556.363953,894.818665,927.273193,927.273193,927.273193,927.273193,927.273193
558,558,561.572021,903.195068,935.953430,935.953430,935.953430,935.953430,935.953430
559,559,566.828918,911.649841,944.714905,944.714905,944.714905,944.714905,944.714905
560,560,572.135010,920.183838,953.558350,953.558350,953.558350,953.558350,953.558350
561,561,577.490784,928.797668,962.484619,962.484619,962.484619,962.484619,962.484619
562,562,582.896667,937.492126,971.494446,971.494446,971.494446,971.494446,971.494446
563,563,588.353149,946.268005,980.588623,980.588623,980.588623,980.588623,980.588623
564,564,593.860718,955.126038,989.767883,989.767883,989.767883,989.767883,989.767883
565,565,599.419861,964.066956,999.033142,999.033142,999.033142,999.033142,999.033142
566,566,605.031067,973.091614,1008.385071,1008.385071,1008.385071,1008.385071,1008.385071
567,567,610.694763,982.200745,1017.824585,1017.824585,1017.824585,1017.824585,1017.824585
568,568,616.411499,991.395142,1027.352417,1027.352417,1027.352417,1027.352417,1027.352417
569,569,622.181702,1000.675476,1036.969482,1036.969482,1036.969482,1036.969482,1036.969482
570,570,628.005920,1010.042908,1046.676636,1046.676636,1046.676636,1046.676636,1046.676636
571,571,633.884705,1019.497925,1056.474487,1056.474487,1056.474487,1056.474487,1056.474487
572,572,639.818481,1029.041382,1066.364136,1066.364136,1066.364136,1066.364136,1066.364136
573,573,645.807861,1038.674316,1076.346436,1076.346436,1076.346436,1076.346436,1076.346436
574,574,651.853271,1048.397339,1086.422119,1086.422119,1086.422119,1086.422119,1086.422119
575,575,657.955261,1058.211426,1096.592163,1096.592163,1096.592163,1096.592163,1096.592163
576,576,664.114380,1068.117310,1106.857300,1106.857300,1106.857300,1106.857300,1106.857300
577,577,670.331177,1078.115967,1117.218628,1117.218628,1117.218628,1117.218628,1117.218628
578,578,676.606140,1088.208252,1127.676880,1127.676880,1127.676880,1127.676880,1127.676880
579,579,682.939880,1098.394897,1138.233154,1138.233154,1138.233154,1138.233154,1138.233154
580,580,689.332886,1108.677002,1148.888062,1148.888062,1148.888062,1148.888062,1148.888062
581,581,695.785706,1119.055298,1159.642822,1159.642822,1159.642822,1159.642822,1159.642822
582,582,702.298950,1129.530884,1170.498291,1170.498291,1170.498291,1170.498291,1170.498291
583,583,708.873169,1140.104370,1181.455322,1181.455322,1181.455322,1181.455322,1181.455322
584,584,715.508972,1150.776855,1192.514893,1192.514893,1192.514893,1192.514893,1192.514893
585,585,722.206848,1161.549316,1203.678101,1203.678101,1203.678101,1203.678101,1203.678101
586,586,728.967407,1172.422607,1214.945679,1214.945679,1214.945679,1214.945679,1214.945679
587,587,735.791260,1183.397705,1226.318848,1226.318848,1226.318848,1226.318848,1226.318848
588,588,742.679016,1194.475464,1237.798340,1237.798340,1237.798340,1237.798340,1237.798340
589,589,749.631287,1205.656982,1249.385376,1249.385376,1249.385376,1249.385376,1249.385376
590,590,756.648560,1216.943115,1261.080933,1261.080933,1261.080933,1261.080933,1261.080933
591,591,763.731567,1228.334961,1272.885864,1272.885864,1272.885864,1272.885864,1272.885864
592,592,770.880859,1239.833374,1284.801392,1284.801392,1284.801392,1284.801392,1284.801392
593,593,778.097046,1251.439453,1296.828491,1296.828491,1296.828491,1296.828491,1296.828491
594,594,785.380859,1263.154175,1308.968018,1308.968018,1308.968018,1308.968018,1308.968018
595,595,792.732788,1274.978516,1321.221313,1321.221313,1321.221313,1321.221313,1321.221313
596,596,800.153564,1286.913696,1333.589233,1333.589233,1333.589233,1333.589233,1333.589233
597,597,807.643799,1298.960449,1346.072998,1346.072998,1346.072998,1346.072998,1346.072998
598,598,815.204163,1311.119995,1358.673584,1358.673584,1358.673584,1358.673584,1358.673584
599,599,822.835327,1323.393433,1371.392212,1371.392212,1371.392212,1371.392212,1371.392212
600,600,830.537842,1335.781738,1384.229736,1384.229736,1384.229736,1384.229736,1384.229736
601,601,838.312561,1348.286011,1397.187500,1397.187500,1397.187500,1397.187500,1397.187500
602,602,846.159973,1360.907349,1410.266602,1410.266602,1410.266602,1410.266602,1410.266602
603,603,854.080872,1373.646729,1423.468140,1423.468140,1423.468140,1423.468140,1423.468140
604,604,862.075928,1386.505493,1436.793213,1436.793213,1436.793213,1436.793213,1436.793213
605,605,870.145874,1399.484619,1450.243042,1450.243042,1450.243042,1450.243042,1450.243042
606,606,878.291260,1412.585205,1463.818848,1463.818848,1463.818848,1463.818848,1463.818848
607,607,886.513000,1425.808350,1477.521606,1477.521606,1477.521606,1477.521606,1477.521606
608,608,894.811646,1439.155396,1491.352661,1491.352661,1491.352661,1491.352661,1491.352661
609,609,903.187988,1452.627319,1505.313232,1505.313232,1505.313232,1505.313232,1505.313232
610,610,911.642700,1466.225342,1519.404541,1519.404541,1519.404541,1519.404541,1519.404541
611,611,920.176575,1479.950684,1533.627686,1533.627686,1533.627686,1533.627686,1533.627686
612,612,928.790405,1493.804565,1547.984009,1547.984009,1547.984009,1547.984009,1547.984009
613,613,937.484802,1507.788086,1562.474609,1562.474609,1562.474609,1562.474609,1562.474609
614,614,946.260620,1521.902466,1577.100952,1577.100952,1577.100952,1577.100952,1577.100952
615,615,955.118530,1536.149048,1591.864258,1591.864258,1591.864258,1591.864258,1591.864258
616,616,964.059387,1550.528931,1606.765747,1606.765747,1606.765747,1606.765747,1606.765747
617,617,973.083984,1565.043457,1621.806641,1621.806641,1621.806641,1621.806641,1621.806641
618,618,982.192993,1579.693726,1636.988403,1636.988403,1636.988403,1636.988403,1636.988403
619,619,991.387329,1594.481323,1652.312256,1652.312256,1652.312256,1652.312256,1652.312256
620,620,1000.667725,1609.407227,1667.779541,1667.779541,1667.779541,1667.779541,1667.779541
621,621,1010.034973,1624.472900,1683.391602,1683.391602,1683.391602,1683.391602,1683.391602
622,622,1019.489929,1639.679565,1699.149902,1699.149902,1699.149902,1699.149902,1699.149902
623,623,1029.033325,1655.028687,1715.055664,1715.055664,1715.055664,1715.055664,1715.055664
624,624,1038.666138,1670.521362,1731.110229,1731.110229,1731.110229,1731.110229,1731.110229
625,625,1048.389160,1686.159180,1747.315186,1747.315186,1747.315186,1747.315186,1747.315186
626,626,1058.203125,1701.943359,1763.671875,1763.671875,1763.671875,1763.671875,1763.671875
627,627,1068.108887,1717.875244,1780.181519,1780.181519,1780.181519,1780.181519,1780.181519
628,628,1078.107544,1733.956299,1796.845825,1796.845825,1796.845825,1796.845825,1796.845825
629,629,1088.199707,1750.187866,1813.666138,1813.666138,1813.666138,1813.666138,1813.666138
630,630,1098.386353,1766.571289,1830.643921,1830.643921,1830.643921,1830.643921,1830.643921
631,631,1108.668335,1783.108276,1847.780518,1847.780518,1847.780518,1847.780518,1847.780518
632,632,1119.046631,1799.799927,1865.077637,1865.077637,1865.077637,1865.077637,1865.077637
633,633,1129.521973,1816.647827,1882.536621,1882.536621,1882.536621,1882.536621,1882.536621
634,634,1140.095459,1833.653442,1900.159058,1900.159058,1900.159058,1900.159058,1900.159058
635,635,1150.767822,1850.818359,1917.946411,1917.946411,1917.946411,1917.946411,1917.946411
636,636,1161.540283,1868.143799,1935.900391,1935.900391,1935.900391,1935.900391,1935.900391
637,637,1172.413452,1885.631592,1954.022339,1954.022339,1954.022339,1954.022339,1954.022339
638,638,1183.388428,1903.282959,1972.313965,1972.313965,1972.313965,1972.313965,1972.313965
639,639,1194.466064,1921.099609,1990.776855,1990.776855,1990.776855,1990.776855,1990.776855
640,640,1205.647461,1939.083008,2009.412476,2009.412476,2009.412476,2009.412476,2009.412476
641,641,1216.933594,1957.234863,2028.222534,2028.222534,2028.222534,2028.222534,2028.222534
642,642,1228.325317,1975.556519,2047.208740,2047.208740,2047.208740,2047.208740,2047.208740
643,643,1239.823608,1994.049683,2066.372803,2066.372803,2066.372803,2066.372803,2066.372803
644,644,1251.429688,2012.715942,2085.716064,2085.716064,2085.716064,2085.716064,2085.716064
645,645,1263.144287,2031.557007,2105.240479,2105.240479,2105.240479,2105.240479,2105.240479
646,646,1274.968628,2050.574463,2124.947510,2124.947510,2124.947510,2124.947510,2124.947510
647,647,1286.903564,2069.769775,2144.839355,2144.839355,2144.839355,2144.839355,2144.839355
648,648,1298.950317,2089.145020,2164.917236,2164.917236,2164.917236,2164.917236,2164.917236
649,649,1311.109741,2108.701416,2185.182861,2185.182861,2185.182861,2185.182861,2185.182861
650,650,1323.383057,2128.441162,2205.638428,2205.638428,2205.638428,2205.638428,2205.638428
651,651,1335.771240,2148.365479,2226.285400,2226.285400,2226.285400,2226.285400,2226.285400
652,652,1348.275391,2168.476318,2247.125732,2247.125732,2247.125732,2247.125732,2247.125732
653,653,1360.896606,2188.775391,2268.161133,2268.161133,2268.161133,2268.161133,2268.161133
654,654,1373.635986,2209.264648,2289.393311,2289.393311,2289.393311,2289.393311,2289.393311
655,655,1386.494629,2229.945557,2310.824463,2310.824463,2310.824463,2310.824463,2310.824463
656,656,1399.473633,2250.820068,2332.456055,2332.456055,2332.456055,2332.456055,2332.456055
657,657,1412.574097,2271.889893,2354.290039,2354.290039,2354.290039,2354.290039,2354.290039
658,658,1425.797241,2293.157227,2376.328613,2376.328613,2376.328613,2376.328613,2376.328613
659,659,1439.144043,2314.623291,2398.573486,2398.573486,2398.573486,2398.573486,2398.573486
660,660,1452.615967,2336.290527,2421.026611,2421.026611,2421.026611,2421.026611,2421.026611
661,661,1466.213867,2358.160645,2443.689697,2443.689697,2443.689697,2443.689697,2443.689697
662,662,1479.939087,2380.235352,2466.565186,2466.565186,2466.565186,2466.565186,2466.565186
663,663,1493.792847,2402.516846,2489.654785,2489.654785,2489.654785,2489.654785,2489.654785
664,664,1507.776245,2425.006836,2512.960449,2512.960449,2512.960449,2512.960449,2512.960449
665,665,1521.890503,2447.707275,2536.484131,2536.484131,2536.484131,2536.484131,2536.484131
666,666,1536.136963,2470.620361,2560.228271,2560.228271,2560.228271,2560.228271,2560.228271
667,667,1550.516724,2493.747803,2584.194580,2584.194580,2584.194580,2584.194580,2584.194580
668,668,1565.031128,2517.091797,2608.385254,2608.385254,2608.385254,2608.385254,2608.385254
669,669,1579.681396,2540.654297,2632.802246,2632.802246,2632.802246,2632.802246,2632.802246
670,670,1594.468750,2564.437256,2657.447998,2657.447998,2657.447998,2657.447998,2657.447998
671,671,1609.394653,2588.443115,2682.324463,2682.324463,2682.324463,2682.324463,2682.324463
672,672,1624.460205,2612.673340,2707.433594,2707.433594,2707.433594,2707.433594,2707.433594
673,673,1639.666748,2637.130615,2732.777832,2732.777832,2732.777832,2732.777832,2732.777832
674,674,1655.015747,2661.816895,2758.359375,2758.359375,2758.359375,2758.359375,2758.359375
675,675,1670.508301,2686.734131,2784.180420,2784.180420,2784.180420,2784.180420,2784.180420
676,676,1686.145996,2711.884766,2810.243164,2810.243164,2810.243164,2810.243164,2810.243164
677,677,1701.929932,2737.270752,2836.550049,2836.550049,2836.550049,2836.550049,2836.550049
678,678,1717.861694,2762.894287,2863.102783,2863.102783,2863.102783,2863.102783,2863.102783
679,679,1733.942627,2788.757812,2889.904297,2889.904297,2889.904297,2889.904297,2889.904297
680,680,1750.174072,2814.863281,2916.956787,2916.956787,2916.956787,2916.956787,2916.956787
681,681,1766.557495,2841.213379,2944.262451,2944.262451,2944.262451,2944.262451,2944.262451
682,682,1783.094238,2867.809814,2971.823730,2971.823730,2971.823730,2971.823730,2971.823730
683,683,1799.785767,2894.655518,2999.643066,2999.643066,2999.643066,2999.643066,2999.643066
684,684,1816.633545,2921.752441,3027.722656,3027.722656,3027.722656,3027.722656,3027.722656
685,685,1833.639160,2949.103027,3056.065186,3056.065186,3056.065186,3056.065186,3056.065186
686,686,1850.803833,2976.709473,3084.673096,3084.673096,3084.673096,3084.673096,3084.673096
687,687,1868.129150,3004.574463,3113.548584,3113.548584,3113.548584,3113.548584,3113.548584
688,688,1885.616821,3032.700195,3142.694580,3142.694580,3142.694580,3142.694580,3142.694580
689,689,1903.268066,3061.089355,3172.113525,3172.113525,3172.113525,3172.113525,3172.113525
690,690,1921.084595,3089.744385,3201.807617,3201.807617,3201.807617,3201.807617,3201.807617
691,691,1939.067871,3118.667480,3231.779785,3231.779785,3231.779785,3231.779785,3231.779785
692,692,1957.219482,3147.861328,3262.032471,3262.032471,3262.032471,3262.032471,3262.032471
693,693,1975.541016,3177.328369,3292.568359,3292.568359,3292.568359,3292.568359,3292.568359
